Title,Author,Publication Year
The Great Gatsby,F. Scott Fitzgerald,1925
1984,George Orwell,1949
1984,George Orwell,1949
The Hobbit,J.R.R. Tolkien,1937
The Catcher in the Rye,,1951
Brave New World,Aldous Huxley,-10
To Kill a Mockingbird,Harper Lee,20250
The Hobbit,J.R.R. Tolkien,1937
Moby Dick,Herman Melville,not_a_year
Pride and Prejudice,Jane Austen,1813
The Odyssey,Homer,
War and Peace,Leo Tolstoy,1869
Don Quixote,Miguel de Cervantes,1605
The Catch-22,Joseph Heller,1961
Ulysses,James Joyce,1922
The Great Gatsby,F. Scott Fitzgerald,1925
The Divine Comedy,Dante Alighieri,1320
The Alchemist,Paulo Coelho,1988
The Little Prince,Antoine de Saint-Exupéry,1943
Crime and Punishment,Fyodor Dostoevsky,1866
